name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
CryptoCrystal,0xcec76159cb10f8c110e738809e4ee4b71f1de12e,sha3;,Random Number Generator,sha3,0.1951 Ether,v0.4.23,3700
ActionCompose,0xbe8115cdf67fcbbca3efb2a9ff18bb98eac2308f,sha3;,Random Number Generator,sha3,0.001 Ether,v0.4.21,20736
CryptoAndDragonsPresale,0xac625cbd6d8628f9de1b69a2e057073e0dca0a0d,sha3;,Random Number Generator,sha3,0 Ether,v0.4.19,160
ClownCore,0x9884d4e9b305ad015168e9d6e4400582dce2cd59,sha3;,Random Number Generator,sha3,0 Ether,v0.4.23,11014
ETHERCExchange,0xd8d48e52f39ab2d169c8b562c53589e6c71ac4d3,sha3;ecrecover;,Signature,ecdsa+sha3,10.46542087311866229 Ether,v0.4.20,21784
KYCCrowdsale,0x5de9f32b2665bb2cdc23bfb51b03e2a2985ecc87,ecrecover;sha2-256;,Signature,ecdsa+sha2-256,20.92760000000000001 Ether,v0.4.21,177
DungeonRunBeta,0x06ea256d8a2112aff4f700407e254bae8921811d,sha3;,Random Number Generator,sha3,0.19 Ether,v0.4.19,314
EthealNormalSale,0x64386613c1abc7a2ce3c00765f505c025d10b8b1,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,v0.4.19,56
Etheroll,0x048717ea892f23fb0126f00640e2b18072efd9d2,sha3;ecrecover;sha2-256;,Message Digest,sha3,6.561305780685470408 Ether,v0.4.18,201315
Etheroll,0x048717ea892f23fb0126f00640e2b18072efd9d2,sha3;ecrecover;sha2-256;,Signature,ecdsa+sha2-256,6.561305780685470408 Ether,v0.4.18,201315
Etheroll,0x048717ea892f23fb0126f00640e2b18072efd9d2,sha3;ecrecover;sha2-256;,Commitment(Single Value),sha3,6.561305780685470408 Ether,v0.4.18,201315
Marketplace,0xb3bca6f5052c7e24726b44da7403b56a8a1b98f8,sha3;,Message Digest,sha3,0 Ether,v0.4.21,30194
Fishbank,0xa98ad92a642570b83b369c4eb70efefe638bc895,sha3;,Message Digest,sha3,0.06 Ether,v0.4.21,39783
TulipCore,0x995020804986274763df9deb0296b754f2659ca1,sha3;,Random Number Generator,sha3,93.804175045066613553 Ether,v0.4.18,2151
SportCrypt,0x37304b0ab297f13f5520c523102797121182fb5b,sha3;ecrecover;,Signature,ecdsa+sha3,194.960244961950291591 Ether,v0.4.18,6653
KYCCrowdsale,0xbed45823677e242081f97e2a7c8422f0d9d6b006,ecrecover;sha2-256;,Signature,ecdsa+sha2-256,0 Ether,v0.4.18,317
Mineable,0xea642206310400cda4c1c5b8e7945314aa96b8a7,sha2-256;,Random Number Generator,sha2-256,0 Ether,v0.4.11,4530
PriceFeed,0xbe4a09d4661f631f7e13aa2d5719efc476fb211c,sha3;,Solidity(Selector),sha3,0 Ether,v0.4.18,6213
Oraclize,0x3dbdc81a6edc94c720b0b88fb65dbd7e395fdcf6,sha3;,Message Digest,sha3,2.05056126945095384 Ether,v0.4.15,247
DomainSale,0xc67247454e720328714c4e17bec7640572657bee,sha3;,Message Digest,sha3,0.2385227801 Ether,v0.4.17,2404
AirSwapExchange,0x8fd3121013A07C57f0D69646E86E7a4880b467b7,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,v0.4.17,27832
EtherFlip,0xffc08dd84a66775e6236e0a80ee2f340e0042f8c,sha3;ecrecover;sha2-256;,Message Digest,sha3,0.02418121609716445 Ether,v0.4.11,3967
EtherFlip,0xffc08dd84a66775e6236e0a80ee2f340e0042f8c,sha3;ecrecover;sha2-256;,Signature,ecdsa+sha2-256,0.02418121609716445 Ether,v0.4.11,3967
