1. Are you a smart contract practitioner?,2.  What is your main role as a smart contract practitioner?,3. How many years of experience do you have in Solidity smart contract development/Testing/project management/research/others?,4. What country do you currently reside in?,"5. Which of the following Ethereum crypto APIs have you used? (Multiple Choice). In this survey, ""Ethereum crypto APIs"" refers to the crypto-related opcodes/precompiled contracts supported by Ethereum.",6. Which of the following cryptographic primitives in smart contracts are you familiar with?,7. Do you believe that accomplishing cryptographic tasks (such as signature verification) is more challenging than other common programming tasks in smart contracts?,"8.  Why do you think implementing cryptographic tasks is more challenging, or different from other common tasks in smart contracts?",9. Have you encountered the following obstacles while accomplishing cryptographic tasks?,10. How do you obtain required knowledge for cryptographic tasks in smart contracts? (Multiple Choice),"11. For cryptographic tasks that have available templates (for example, Signature have been implemented in  OpenZeppelin ECDSA and many other templates), do you prefer to use existing templates or implement them from scratch?","12. Are there any cryptographic tasks that you want to accomplish but currently lack available templates? If yes, please list them below. Otherwise, please skip this question.","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Functionality]","13. Do you think current Ethereum crypto APIs are good enough to support all your cryptographic tasks, in terms of functionality and usability? Please rate them on a scale of 1-5. (1) Functionality of the APIs cover all functionalities I needed? (2) Usability: Are the APIs easy to understand & use, with easily accessable documentation? [Usability]","14.  Are there any cryptographic tasks that you wish to accomplish, but are currently unsupported by Ethereum's crypto APIs?  If yes, please list them below. Otherwise, please skip this question.",15. Do you think ensuring the security of cryptographic implementations is more challenging than securing other parts of a smart contract?,"16.  Why do you think securing cryptographic Implementations is more challenging, or different from other common programming tasks?",17. Which of the following crypto-related vulnerabilities in the Smart Contract Weakness Classification (SWC) list are you familiar with? (Multiple Choice),18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Solidity and Ethereum documentation],"18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Audited templates, e.g., Openzepplin's templates]",18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Testing tools],18. Do you think the following types of tools / resources are good enough to support secure and efficient implementations of cryptographic tasks?  Please rate them on a scale of 1 to 5.  [Security audit tools],"19. In addition to the four types of tools/resources mentioned in the previous question, are there any other types of support you desire? If yes, please list them below. Otherwise, please skip this question."
Yes,Research,7,Romania,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02);RIPEMD160 (https://www.evm.codes/precompiled#0x03),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",Yes (Go to Question 8),"Gas constraints, high risk in case of failure, limited number of available libraries","Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",I usually use existing templates,,(Good),(Very bad),,Yes (Go to Question 16),The knowledge required to implement cryptographic primitives is more niche and requires more research.,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Very Good),(Neutrality),(Neutrality),
Yes,Development,2.5,Hungary,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),"For some reason it takes more time for me to implement them, and it's not always trivial to handle them from an off-chain app either","Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow",I usually use existing templates,,(Good),(Bad),,"They are basically the same, but lie in different aspects (Go to Question 16)",They require different knowledge that is harder to understand,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Very Good),(Good),(Good),"tutorials, blogposts in simple language"
Yes,Development,1,USA,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",No (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow","I usually use existing templates;It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",Zero-knowledge Proofs,(Neutrality),(Very Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",Cryptography gets to the heart of the problem itself.,None of them,(Very Good),(Neutrality),(Neutrality),(Neutrality),
Yes,Project management,1,Pakistan,KECCAK256 / SHA3 (https://www.evm.codes/#20),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.;Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.","Documentations of the template provider, e.g., OpenZeppllin;Q&A sites, such as Stack Overflow","I usually use existing templates;It depends on the complexity of the cryptographic task. For complex tasks, I use existing templates",,(Good),(Neutrality),,Yes (Go to Question 16),,,(Neutrality),(Good),(Neutrality),(Neutrality),
Yes,Development,2,Singapore,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02);ECADD (https://www.evm.codes/precompiled#0x06);ECMUL (https://www.evm.codes/precompiled#0x07);ECPairing (https://www.evm.codes/precompiled#0x08),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",No (Go to Question 9),,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;evm.codes",I usually implement cryptographic tasks from scratch.,,(Good),(Good),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Good),(Good),(Good),
Yes,Development,2,France,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)","They are basically the same, but lie in different aspects (Go to Question 8)",More sensitive. It requires a good understanding of the mathematic to be comfortable with the implementation,"Security obstacle. For example, I am uncertain whether my implementation is secure.",Technical books / papers,I usually use existing templates,,(Good),(Bad),,Yes (Go to Question 16),More sensitive. It requires a good understanding of the mathematic to be comfortable with the implementation,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Good),(Good),(Neutrality),
Yes,Development,2,Canada,KECCAK256 / SHA3 (https://www.evm.codes/#20);SHA256 (https://www.evm.codes/precompiled#0x02);BLAKE2 (https://www.evm.codes/precompiled#0x09),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Roadmap identification obstacles. For example, I struggle with identifying the appropriate template/crypto API to use.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs","It depends on the complexity of the cryptographic task. For simple tasks, I use existing templates",,(Good),(Good),,No (Go to Question 17),,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Good),(Bad),(Bad),
Yes,Development,5,Japan,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02);RIPEMD160 (https://www.evm.codes/precompiled#0x03),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),Need to understand how to use the cryptographic protocol,"Knowledge obstacles. For example, I don't understand the basic concepts and principles in cryptography/blockchain fileds.;Template usage obstacles. For example, I encounter issues when trying to reuse the OpenZepplin's Library.;Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers","I usually use existing templates;It depends on the complexity of the cryptographic task. For simple tasks, I use existing templates",,(Good),(Good),"Signature aggregation. For example, if I want to batch meta transactions, my smart contract will have to verify each signature corresponding to the transaction. It would be nice if there is a cryptographic protocol that can verify all signatures in one step",Yes (Go to Question 16),Need knowledge of cryptography,SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Neutrality),(Good),(Good),(Good),Online education
Yes,Development,3,Turkey,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.);Zero-knowledge Proof (including Plonk, etc.)",No (Go to Question 9),,"Security obstacle. For example, I am uncertain whether my implementation is secure.","Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Documentations of the template provider, e.g., OpenZeppllin;Online tutorials/blogs;Q&A sites, such as Stack Overflow;Technical books / papers",,,(Neutrality),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Good),(Very Good),(Neutrality),(Neutrality),
Yes,Development,5,Brazil,KECCAK256 / SHA3 (https://www.evm.codes/#20);ecRecover (https://www.evm.codes/precompiled#0x01);SHA256 (https://www.evm.codes/precompiled#0x02),"Hash (including KECCAK256/SHA3, SHA2-256, RIPEMD-160, etc);Signature (including ECDSA, etc.)",Yes (Go to Question 8),,,"Official documentations, such as Solidity documentations, Ethereum Yellow Paper;Online tutorials/blogs",I usually use existing templates,,(Very Good),(Good),,"They are basically the same, but lie in different aspects (Go to Question 16)",,SWC-117: Signature Malleability (https://swcregistry.io/docs/SWC-117);SWC-120: Weak Sources of Randomness from Chain Attributes (https://swcregistry.io/docs/SWC-120);SWC-121: Missing Protection against Signature Replay Attacks (https://swcregistry.io/docs/SWC-121);SWC-122: Lack of Proper Signature Verification (https://swcregistry.io/docs/SWC-122);SWC-133: Hash Collisions With Multiple Variable Length Arguments (https://swcregistry.io/docs/SWC-133),(Bad),(Bad),(Good),(Good),
